Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «porn», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
4 сентября 2023 – 10 сентября 2023;3 490 537;0,143;
11 сентября 2023 – 17 сентября 2023;3 539 929;0,140;
18 сентября 2023 – 24 сентября 2023;3 598 374;0,139;
25 сентября 2023 – 1 октября 2023;3 634 308;0,139;
2 октября 2023 – 8 октября 2023;3 600 488;0,136;
9 октября 2023 – 15 октября 2023;3 630 446;0,135;
16 октября 2023 – 22 октября 2023;3 664 429;0,133;
23 октября 2023 – 29 октября 2023;3 658 432;0,136;
30 октября 2023 – 5 ноября 2023;3 686 945;0,145;
6 ноября 2023 – 12 ноября 2023;3 695 488;0,139;
13 ноября 2023 – 19 ноября 2023;3 625 577;0,131;
20 ноября 2023 – 26 ноября 2023;3 869 733;0,138;
27 ноября 2023 – 3 декабря 2023;3 694 586;0,131;
4 декабря 2023 – 10 декабря 2023;3 582 737;0,126;
11 декабря 2023 – 17 декабря 2023;3 529 576;0,126;
18 декабря 2023 – 24 декабря 2023;3 555 990;0,130;
25 декабря 2023 – 31 декабря 2023;3 429 118;0,144;
1 января 2024 – 7 января 2024;3 801 059;0,163;
8 января 2024 – 14 января 2024;3 763 089;0,139;
15 января 2024 – 21 января 2024;3 687 356;0,130;
22 января 2024 – 28 января 2024;3 752 928;0,132;
29 января 2024 – 4 февраля 2024;3 781 430;0,132;
5 февраля 2024 – 11 февраля 2024;3 751 926;0,130;
12 февраля 2024 – 18 февраля 2024;3 788 876;0,131;
19 февраля 2024 – 25 февраля 2024;3 847 933;0,139;
