Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «порно», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
31 октября 2022 – 6 ноября 2022;82 946 796;3,00;
7 ноября 2022 – 13 ноября 2022;80 241 395;2,79;
14 ноября 2022 – 20 ноября 2022;80 154 407;2,67;
21 ноября 2022 – 27 ноября 2022;76 007 798;2,54;
28 ноября 2022 – 4 декабря 2022;76 468 413;2,57;
5 декабря 2022 – 11 декабря 2022;75 343 484;2,54;
12 декабря 2022 – 18 декабря 2022;74 759 172;2,54;
19 декабря 2022 – 25 декабря 2022;76 414 259;2,64;
26 декабря 2022 – 1 января 2023;69 095 939;2,87;
2 января 2023 – 8 января 2023;78 585 647;3,23;
9 января 2023 – 15 января 2023;76 081 141;2,68;
16 января 2023 – 22 января 2023;74 995 110;2,58;
23 января 2023 – 29 января 2023;73 587 107;2,53;
30 января 2023 – 5 февраля 2023;74 114 245;2,57;
6 февраля 2023 – 12 февраля 2023;74 283 468;2,57;
13 февраля 2023 – 19 февраля 2023;74 408 098;2,59;
20 февраля 2023 – 26 февраля 2023;76 253 400;2,81;
27 февраля 2023 – 5 марта 2023;75 664 220;2,63;
6 марта 2023 – 12 марта 2023;76 538 217;2,79;
13 марта 2023 – 19 марта 2023;75 565 255;2,65;
20 марта 2023 – 26 марта 2023;74 864 168;2,71;
27 марта 2023 – 2 апреля 2023;74 923 657;2,74;
3 апреля 2023 – 9 апреля 2023;74 089 511;2,70;
10 апреля 2023 – 16 апреля 2023;73 399 163;2,72;
17 апреля 2023 – 23 апреля 2023;77 653 950;2,88;
24 апреля 2023 – 30 апреля 2023;77 325 445;2,93;
1 мая 2023 – 7 мая 2023;76 206 774;3,01;
8 мая 2023 – 14 мая 2023;76 749 678;3,06;
15 мая 2023 – 21 мая 2023;75 665 526;2,91;
22 мая 2023 – 28 мая 2023;77 007 669;3,08;
29 мая 2023 – 4 июня 2023;77 215 787;3,16;
5 июня 2023 – 11 июня 2023;76 589 532;3,19;
12 июня 2023 – 18 июня 2023;77 564 417;3,32;
19 июня 2023 – 25 июня 2023;76 937 615;3,22;
26 июня 2023 – 2 июля 2023;77 942 523;3,35;
3 июля 2023 – 9 июля 2023;76 958 567;3,41;
10 июля 2023 – 16 июля 2023;77 257 649;3,37;
17 июля 2023 – 23 июля 2023;77 775 846;3,43;
24 июля 2023 – 30 июля 2023;78 397 453;3,43;
31 июля 2023 – 6 августа 2023;78 420 515;3,50;
7 августа 2023 – 13 августа 2023;78 942 885;3,45;
14 августа 2023 – 20 августа 2023;78 340 715;3,49;
21 августа 2023 – 27 августа 2023;77 196 074;3,45;
28 августа 2023 – 3 сентября 2023;76 982 131;3,45;
4 сентября 2023 – 10 сентября 2023;75 710 053;3,10;
11 сентября 2023 – 17 сентября 2023;75 293 137;2,98;
18 сентября 2023 – 24 сентября 2023;76 739 487;2,98;
25 сентября 2023 – 1 октября 2023;76 960 447;2,95;
2 октября 2023 – 8 октября 2023;76 738 817;2,91;
9 октября 2023 – 15 октября 2023;76 567 275;2,85;
16 октября 2023 – 22 октября 2023;76 949 246;2,80;
23 октября 2023 – 29 октября 2023;76 553 005;2,84;
30 октября 2023 – 5 ноября 2023;77 172 759;3,04;
6 ноября 2023 – 12 ноября 2023;77 720 436;2,92;
13 ноября 2023 – 19 ноября 2023;76 390 079;2,77;
20 ноября 2023 – 26 ноября 2023;75 892 013;2,72;
27 ноября 2023 – 3 декабря 2023;76 657 061;2,72;
4 декабря 2023 – 10 декабря 2023;76 113 301;2,67;
11 декабря 2023 – 17 декабря 2023;75 448 599;2,70;
18 декабря 2023 – 24 декабря 2023;76 392 664;2,79;
25 декабря 2023 – 31 декабря 2023;72 138 711;3,03;
1 января 2024 – 7 января 2024;79 154 032;3,39;
8 января 2024 – 14 января 2024;79 157 085;2,93;
15 января 2024 – 21 января 2024;77 892 734;2,75;
22 января 2024 – 28 января 2024;78 395 453;2,76;
29 января 2024 – 4 февраля 2024;79 460 952;2,78;
5 февраля 2024 – 11 февраля 2024;77 923 291;2,70;
12 февраля 2024 – 18 февраля 2024;78 134 172;2,71;
19 февраля 2024 – 25 февраля 2024;78 695 225;2,85;
