Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «телеграмм», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
13 декабря 2021 – 19 декабря 2021;1 478 913;0,0534;
20 декабря 2021 – 26 декабря 2021;1 474 289;0,0542;
27 декабря 2021 – 2 января 2022;1 315 324;0,0581;
3 января 2022 – 9 января 2022;1 571 995;0,0672;
10 января 2022 – 16 января 2022;1 636 353;0,0598;
17 января 2022 – 23 января 2022;1 616 334;0,0572;
24 января 2022 – 30 января 2022;1 675 275;0,0578;
31 января 2022 – 6 февраля 2022;1 748 712;0,0593;
7 февраля 2022 – 13 февраля 2022;1 784 132;0,0591;
14 февраля 2022 – 20 февраля 2022;1 710 573;0,0580;
21 февраля 2022 – 27 февраля 2022;3 247 857;0,1149;
28 февраля 2022 – 6 марта 2022;3 558 891;0,1237;
7 марта 2022 – 13 марта 2022;5 919 754;0,2127;
14 марта 2022 – 20 марта 2022;5 230 887;0,1797;
21 марта 2022 – 27 марта 2022;4 046 689;0,1426;
28 марта 2022 – 3 апреля 2022;3 864 282;0,1360;
4 апреля 2022 – 10 апреля 2022;3 718 668;0,1308;
11 апреля 2022 – 17 апреля 2022;3 595 950;0,1287;
18 апреля 2022 – 24 апреля 2022;3 447 393;0,1246;
25 апреля 2022 – 1 мая 2022;3 376 947;0,1274;
2 мая 2022 – 8 мая 2022;3 058 230;0,1223;
9 мая 2022 – 15 мая 2022;3 208 587;0,1190;
16 мая 2022 – 22 мая 2022;3 412 795;0,1203;
23 мая 2022 – 29 мая 2022;3 200 537;0,1172;
30 мая 2022 – 5 июня 2022;3 013 315;0,1186;
6 июня 2022 – 12 июня 2022;3 033 256;0,1230;
13 июня 2022 – 19 июня 2022;2 991 244;0,1217;
20 июня 2022 – 26 июня 2022;3 183 144;0,1253;
27 июня 2022 – 3 июля 2022;2 949 244;0,1237;
4 июля 2022 – 10 июля 2022;2 906 613;0,1246;
11 июля 2022 – 17 июля 2022;2 942 230;0,1242;
18 июля 2022 – 24 июля 2022;2 810 318;0,1191;
25 июля 2022 – 31 июля 2022;2 902 900;0,1231;
1 августа 2022 – 7 августа 2022;2 922 553;0,1242;
8 августа 2022 – 14 августа 2022;2 951 092;0,1246;
15 августа 2022 – 21 августа 2022;2 967 618;0,1223;
22 августа 2022 – 28 августа 2022;3 010 093;0,1234;
