Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «написать завещание», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 февраля 2021 – 7 февраля 2021;3 840;0,000157;
8 февраля 2021 – 14 февраля 2021;4 021;0,000159;
15 февраля 2021 – 21 февраля 2021;4 148;0,000162;
22 февраля 2021 – 28 февраля 2021;3 693;0,000151;
1 марта 2021 – 7 марта 2021;3 885;0,000161;
8 марта 2021 – 14 марта 2021;4 082;0,000166;
15 марта 2021 – 21 марта 2021;4 061;0,000162;
22 марта 2021 – 28 марта 2021;3 496;0,000147;
29 марта 2021 – 4 апреля 2021;3 467;0,000141;
5 апреля 2021 – 11 апреля 2021;3 481;0,000137;
12 апреля 2021 – 18 апреля 2021;5 695;0,000229;
19 апреля 2021 – 25 апреля 2021;3 499;0,000138;
26 апреля 2021 – 2 мая 2021;3 187;0,000134;
3 мая 2021 – 9 мая 2021;2 640;0,000121;
10 мая 2021 – 16 мая 2021;3 581;0,000151;
17 мая 2021 – 23 мая 2021;3 629;0,000147;
24 мая 2021 – 30 мая 2021;3 189;0,000135;
31 мая 2021 – 6 июня 2021;2 982;0,000128;
7 июня 2021 – 13 июня 2021;2 819;0,000119;
14 июня 2021 – 20 июня 2021;2 591;0,000114;
21 июня 2021 – 27 июня 2021;2 841;0,000125;
28 июня 2021 – 4 июля 2021;2 585;0,000115;
5 июля 2021 – 11 июля 2021;2 499;0,000115;
12 июля 2021 – 18 июля 2021;2 446;0,000113;
19 июля 2021 – 25 июля 2021;2 692;0,000123;
26 июля 2021 – 1 августа 2021;2 584;0,000117;
2 августа 2021 – 8 августа 2021;2 628;0,000118;
9 августа 2021 – 15 августа 2021;2 582;0,000116;
16 августа 2021 – 22 августа 2021;2 670;0,000118;
23 августа 2021 – 29 августа 2021;2 699;0,000117;
30 августа 2021 – 5 сентября 2021;2 571;0,000109;
6 сентября 2021 – 12 сентября 2021;2 477;0,000103;
13 сентября 2021 – 19 сентября 2021;2 706;0,000108;
20 сентября 2021 – 26 сентября 2021;2 781;0,000108;
27 сентября 2021 – 3 октября 2021;2 971;0,000118;
4 октября 2021 – 10 октября 2021;3 130;0,000124;
11 октября 2021 – 17 октября 2021;3 392;0,000129;
18 октября 2021 – 24 октября 2021;3 632;0,000137;
25 октября 2021 – 31 октября 2021;3 359;0,000131;
1 ноября 2021 – 7 ноября 2021;3 387;0,000137;
8 ноября 2021 – 14 ноября 2021;4 190;0,000153;
15 ноября 2021 – 21 ноября 2021;4 124;0,000149;
22 ноября 2021 – 28 ноября 2021;4 203;0,000152;
29 ноября 2021 – 5 декабря 2021;4 163;0,000153;
6 декабря 2021 – 12 декабря 2021;4 072;0,000148;
13 декабря 2021 – 19 декабря 2021;4 439;0,000160;
20 декабря 2021 – 26 декабря 2021;3 458;0,000127;
27 декабря 2021 – 2 января 2022;2 218;0,000097;
3 января 2022 – 9 января 2022;3 231;0,000138;
10 января 2022 – 16 января 2022;4 886;0,000178;
17 января 2022 – 23 января 2022;5 036;0,000178;
24 января 2022 – 30 января 2022;5 336;0,000184;
31 января 2022 – 6 февраля 2022;5 792;0,000196;
7 февраля 2022 – 13 февраля 2022;5 551;0,000183;
14 февраля 2022 – 20 февраля 2022;5 250;0,000178;
21 февраля 2022 – 27 февраля 2022;4 413;0,000156;
28 февраля 2022 – 6 марта 2022;3 866;0,000134;
7 марта 2022 – 13 марта 2022;4 499;0,000161;
14 марта 2022 – 20 марта 2022;4 438;0,000152;
21 марта 2022 – 27 марта 2022;4 098;0,000144;
28 марта 2022 – 3 апреля 2022;4 230;0,000148;
4 апреля 2022 – 10 апреля 2022;4 046;0,000142;
11 апреля 2022 – 17 апреля 2022;3 952;0,000141;
18 апреля 2022 – 24 апреля 2022;3 718;0,000134;
