Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «уехать из россии», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
13 марта 2023 – 19 марта 2023;2 878;0,000100;
20 марта 2023 – 26 марта 2023;2 676;0,000097;
27 марта 2023 – 2 апреля 2023;2 777;0,000101;
3 апреля 2023 – 9 апреля 2023;2 838;0,000103;
10 апреля 2023 – 16 апреля 2023;4 828;0,000179;
17 апреля 2023 – 23 апреля 2023;3 234;0,000120;
24 апреля 2023 – 30 апреля 2023;2 773;0,000105;
1 мая 2023 – 7 мая 2023;2 534;0,000100;
8 мая 2023 – 14 мая 2023;2 648;0,000105;
15 мая 2023 – 21 мая 2023;2 253;0,000086;
22 мая 2023 – 28 мая 2023;2 257;0,000090;
29 мая 2023 – 4 июня 2023;2 463;0,000100;
5 июня 2023 – 11 июня 2023;2 506;0,000104;
12 июня 2023 – 18 июня 2023;2 443;0,000104;
19 июня 2023 – 25 июня 2023;2 601;0,000109;
26 июня 2023 – 2 июля 2023;2 360;0,000101;
3 июля 2023 – 9 июля 2023;2 127;0,000094;
10 июля 2023 – 16 июля 2023;2 208;0,000096;
17 июля 2023 – 23 июля 2023;2 508;0,000110;
24 июля 2023 – 30 июля 2023;3 391;0,000148;
31 июля 2023 – 6 августа 2023;2 980;0,000133;
7 августа 2023 – 13 августа 2023;2 759;0,000120;
14 августа 2023 – 20 августа 2023;2 627;0,000117;
21 августа 2023 – 27 августа 2023;2 371;0,000106;
28 августа 2023 – 3 сентября 2023;2 134;0,000095;
4 сентября 2023 – 10 сентября 2023;2 188;0,000089;
11 сентября 2023 – 17 сентября 2023;2 306;0,000091;
18 сентября 2023 – 24 сентября 2023;2 058;0,000079;
25 сентября 2023 – 1 октября 2023;2 242;0,000086;
2 октября 2023 – 8 октября 2023;2 283;0,000086;
9 октября 2023 – 15 октября 2023;2 556;0,000095;
16 октября 2023 – 22 октября 2023;2 105;0,000076;
23 октября 2023 – 29 октября 2023;2 002;0,000074;
30 октября 2023 – 5 ноября 2023;1 906;0,000075;
6 ноября 2023 – 12 ноября 2023;1 937;0,000072;
13 ноября 2023 – 19 ноября 2023;1 963;0,000071;
20 ноября 2023 – 26 ноября 2023;2 011;0,000072;
27 ноября 2023 – 3 декабря 2023;2 280;0,000081;
4 декабря 2023 – 10 декабря 2023;2 080;0,000073;
11 декабря 2023 – 17 декабря 2023;1 981;0,000071;
18 декабря 2023 – 24 декабря 2023;1 746;0,000063;
25 декабря 2023 – 31 декабря 2023;1 511;0,000063;
1 января 2024 – 7 января 2024;2 162;0,000092;
8 января 2024 – 14 января 2024;2 241;0,000083;
15 января 2024 – 21 января 2024;2 164;0,000076;
22 января 2024 – 28 января 2024;2 199;0,000077;
29 января 2024 – 4 февраля 2024;2 175;0,000076;
5 февраля 2024 – 11 февраля 2024;2 193;0,000076;
12 февраля 2024 – 18 февраля 2024;2 366;0,000082;
19 февраля 2024 – 25 февраля 2024;2 350;0,000085;
