Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «организация похорон», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
20 марта 2023 – 26 марта 2023;1 926;0,000069;
27 марта 2023 – 2 апреля 2023;1 989;0,000072;
3 апреля 2023 – 9 апреля 2023;2 161;0,000078;
10 апреля 2023 – 16 апреля 2023;2 462;0,000091;
17 апреля 2023 – 23 апреля 2023;1 988;0,000073;
24 апреля 2023 – 30 апреля 2023;1 521;0,000057;
1 мая 2023 – 7 мая 2023;1 510;0,000059;
8 мая 2023 – 14 мая 2023;1 441;0,000057;
15 мая 2023 – 21 мая 2023;1 485;0,000057;
22 мая 2023 – 28 мая 2023;1 583;0,000063;
29 мая 2023 – 4 июня 2023;3 410;0,000139;
5 июня 2023 – 11 июня 2023;2 597;0,000108;
12 июня 2023 – 18 июня 2023;2 170;0,000092;
19 июня 2023 – 25 июня 2023;1 518;0,000063;
26 июня 2023 – 2 июля 2023;2 144;0,000092;
3 июля 2023 – 9 июля 2023;3 012;0,000133;
10 июля 2023 – 16 июля 2023;5 597;0,000244;
17 июля 2023 – 23 июля 2023;2 673;0,000117;
24 июля 2023 – 30 июля 2023;3 295;0,000144;
31 июля 2023 – 6 августа 2023;1 787;0,000079;
7 августа 2023 – 13 августа 2023;1 898;0,000083;
14 августа 2023 – 20 августа 2023;2 482;0,000110;
21 августа 2023 – 27 августа 2023;2 351;0,000105;
28 августа 2023 – 3 сентября 2023;1 563;0,000070;
4 сентября 2023 – 10 сентября 2023;1 945;0,000079;
11 сентября 2023 – 17 сентября 2023;1 614;0,000064;
18 сентября 2023 – 24 сентября 2023;1 603;0,000062;
25 сентября 2023 – 1 октября 2023;1 640;0,000062;
2 октября 2023 – 8 октября 2023;1 905;0,000072;
9 октября 2023 – 15 октября 2023;1 700;0,000063;
16 октября 2023 – 22 октября 2023;1 452;0,000052;
23 октября 2023 – 29 октября 2023;1 502;0,000055;
30 октября 2023 – 5 ноября 2023;1 576;0,000062;
6 ноября 2023 – 12 ноября 2023;1 309;0,000049;
13 ноября 2023 – 19 ноября 2023;1 217;0,000044;
20 ноября 2023 – 26 ноября 2023;1 397;0,000050;
27 ноября 2023 – 3 декабря 2023;1 638;0,000058;
4 декабря 2023 – 10 декабря 2023;1 910;0,000067;
11 декабря 2023 – 17 декабря 2023;1 571;0,000056;
18 декабря 2023 – 24 декабря 2023;1 587;0,000058;
25 декабря 2023 – 31 декабря 2023;1 467;0,000061;
1 января 2024 – 7 января 2024;1 329;0,000057;
8 января 2024 – 14 января 2024;1 874;0,000069;
15 января 2024 – 21 января 2024;1 779;0,000063;
22 января 2024 – 28 января 2024;1 936;0,000068;
29 января 2024 – 4 февраля 2024;2 291;0,000080;
5 февраля 2024 – 11 февраля 2024;3 230;0,000111;
12 февраля 2024 – 18 февраля 2024;3 334;0,000115;
19 февраля 2024 – 25 февраля 2024;3 355;0,000121;
