Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «тик ток», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
21 декабря 2020 – 27 декабря 2020;1 505 763;0,061335;
28 декабря 2020 – 3 января 2021;1 711 700;0,086461;
4 января 2021 – 10 января 2021;1 837 766;0,086153;
11 января 2021 – 17 января 2021;1 752 204;0,071182;
18 января 2021 – 24 января 2021;1 836 134;0,074131;
25 января 2021 – 31 января 2021;1 890 257;0,076412;
1 февраля 2021 – 7 февраля 2021;1 750 456;0,071747;
8 февраля 2021 – 14 февраля 2021;1 834 296;0,072903;
15 февраля 2021 – 21 февраля 2021;1 761 620;0,069169;
22 февраля 2021 – 28 февраля 2021;1 949 769;0,080215;
1 марта 2021 – 7 марта 2021;1 764 056;0,073340;
8 марта 2021 – 14 марта 2021;1 774 160;0,072317;
15 марта 2021 – 21 марта 2021;1 773 817;0,071105;
22 марта 2021 – 28 марта 2021;1 976 624;0,083397;
29 марта 2021 – 4 апреля 2021;1 912 537;0,078013;
5 апреля 2021 – 11 апреля 2021;1 911 444;0,075450;
12 апреля 2021 – 18 апреля 2021;1 806 120;0,072735;
19 апреля 2021 – 25 апреля 2021;1 893 383;0,075056;
26 апреля 2021 – 2 мая 2021;1 848 942;0,078085;
3 мая 2021 – 9 мая 2021;2 010 778;0,092423;
10 мая 2021 – 16 мая 2021;1 794 619;0,075807;
17 мая 2021 – 23 мая 2021;1 818 775;0,074128;
24 мая 2021 – 30 мая 2021;1 940 086;0,082321;
31 мая 2021 – 6 июня 2021;1 959 891;0,084379;
7 июня 2021 – 13 июня 2021;1 966 200;0,083676;
14 июня 2021 – 20 июня 2021;1 908 016;0,084637;
21 июня 2021 – 27 июня 2021;2 018 055;0,089158;
28 июня 2021 – 4 июля 2021;2 131 731;0,095393;
5 июля 2021 – 11 июля 2021;2 103 694;0,097023;
12 июля 2021 – 18 июля 2021;2 074 616;0,096103;
19 июля 2021 – 25 июля 2021;2 140 999;0,097993;
26 июля 2021 – 1 августа 2021;2 097 832;0,095044;
2 августа 2021 – 8 августа 2021;2 137 309;0,096241;
9 августа 2021 – 15 августа 2021;2 198 603;0,098801;
16 августа 2021 – 22 августа 2021;2 204 513;0,098000;
23 августа 2021 – 29 августа 2021;2 199 980;0,096048;
30 августа 2021 – 5 сентября 2021;2 133 797;0,090591;
6 сентября 2021 – 12 сентября 2021;1 942 994;0,081481;
13 сентября 2021 – 19 сентября 2021;2 204 148;0,088029;
20 сентября 2021 – 26 сентября 2021;2 157 576;0,083792;
27 сентября 2021 – 3 октября 2021;2 123 055;0,084801;
4 октября 2021 – 10 октября 2021;2 057 771;0,082016;
11 октября 2021 – 17 октября 2021;2 056 749;0,078560;
18 октября 2021 – 24 октября 2021;2 114 303;0,080186;
25 октября 2021 – 31 октября 2021;2 345 734;0,091676;
1 ноября 2021 – 7 ноября 2021;2 573 660;0,104526;
8 ноября 2021 – 14 ноября 2021;2 355 192;0,086527;
15 ноября 2021 – 21 ноября 2021;2 375 769;0,086113;
22 ноября 2021 – 28 ноября 2021;2 461 575;0,089569;
29 ноября 2021 – 5 декабря 2021;2 404 482;0,088430;
6 декабря 2021 – 12 декабря 2021;2 370 086;0,086327;
13 декабря 2021 – 19 декабря 2021;2 396 674;0,086569;
20 декабря 2021 – 26 декабря 2021;2 424 964;0,089201;
27 декабря 2021 – 2 января 2022;2 628 043;0,116111;
3 января 2022 – 9 января 2022;2 655 670;0,113674;
10 января 2022 – 16 января 2022;2 592 310;0,094798;
17 января 2022 – 23 января 2022;2 640 923;0,093461;
24 января 2022 – 30 января 2022;2 784 322;0,096096;
31 января 2022 – 6 февраля 2022;2 852 277;0,096723;
