Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «с днем рождения», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
30 августа 2021 – 5 сентября 2021;8 751 991;0,37;
6 сентября 2021 – 12 сентября 2021;8 472 858;0,35;
13 сентября 2021 – 19 сентября 2021;8 723 908;0,34;
20 сентября 2021 – 26 сентября 2021;9 325 265;0,36;
27 сентября 2021 – 3 октября 2021;8 703 747;0,34;
4 октября 2021 – 10 октября 2021;8 576 944;0,34;
11 октября 2021 – 17 октября 2021;8 506 838;0,32;
18 октября 2021 – 24 октября 2021;8 223 229;0,31;
25 октября 2021 – 31 октября 2021;8 583 431;0,33;
1 ноября 2021 – 7 ноября 2021;8 832 447;0,35;
8 ноября 2021 – 14 ноября 2021;9 341 343;0,34;
15 ноября 2021 – 21 ноября 2021;9 416 492;0,34;
22 ноября 2021 – 28 ноября 2021;8 865 170;0,32;
29 ноября 2021 – 5 декабря 2021;9 348 018;0,34;
6 декабря 2021 – 12 декабря 2021;9 213 649;0,33;
13 декабря 2021 – 19 декабря 2021;8 904 556;0,32;
20 декабря 2021 – 26 декабря 2021;8 346 736;0,30;
27 декабря 2021 – 2 января 2022;7 281 259;0,32;
3 января 2022 – 9 января 2022;8 740 336;0,37;
10 января 2022 – 16 января 2022;10 056 862;0,36;
17 января 2022 – 23 января 2022;10 417 994;0,36;
24 января 2022 – 30 января 2022;10 439 124;0,36;
31 января 2022 – 6 февраля 2022;11 015 061;0,37;
7 февраля 2022 – 13 февраля 2022;10 959 163;0,36;
14 февраля 2022 – 20 февраля 2022;10 007 202;0,33;
21 февраля 2022 – 27 февраля 2022;9 114 540;0,32;
28 февраля 2022 – 6 марта 2022;9 376 743;0,32;
7 марта 2022 – 13 марта 2022;9 305 208;0,33;
14 марта 2022 – 20 марта 2022;10 250 564;0,35;
21 марта 2022 – 27 марта 2022;10 259 084;0,36;
28 марта 2022 – 3 апреля 2022;10 445 881;0,36;
4 апреля 2022 – 10 апреля 2022;10 086 412;0,35;
11 апреля 2022 – 17 апреля 2022;10 032 230;0,35;
18 апреля 2022 – 24 апреля 2022;9 798 153;0,35;
25 апреля 2022 – 1 мая 2022;9 530 387;0,35;
2 мая 2022 – 8 мая 2022;9 358 443;0,37;
9 мая 2022 – 15 мая 2022;9 798 336;0,36;
16 мая 2022 – 22 мая 2022;10 167 586;0,35;
23 мая 2022 – 29 мая 2022;9 757 387;0,35;
30 мая 2022 – 5 июня 2022;9 654 856;0,38;
6 июня 2022 – 12 июня 2022;9 595 217;0,38;
13 июня 2022 – 19 июня 2022;9 343 983;0,38;
20 июня 2022 – 26 июня 2022;9 655 031;0,38;
27 июня 2022 – 3 июля 2022;9 335 710;0,39;
4 июля 2022 – 10 июля 2022;9 449 274;0,40;
11 июля 2022 – 17 июля 2022;9 519 820;0,40;
18 июля 2022 – 24 июля 2022;9 331 406;0,39;
25 июля 2022 – 31 июля 2022;9 475 838;0,40;
