Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «похороны», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
19 декабря 2022 – 25 декабря 2022;206 179;0,0071;
26 декабря 2022 – 1 января 2023;226 524;0,0094;
2 января 2023 – 8 января 2023;237 537;0,0097;
9 января 2023 – 15 января 2023;278 929;0,0098;
16 января 2023 – 22 января 2023;379 726;0,0130;
23 января 2023 – 29 января 2023;233 776;0,0080;
30 января 2023 – 5 февраля 2023;234 746;0,0081;
6 февраля 2023 – 12 февраля 2023;219 368;0,0076;
13 февраля 2023 – 19 февраля 2023;221 955;0,0077;
20 февраля 2023 – 26 февраля 2023;219 400;0,0080;
27 февраля 2023 – 5 марта 2023;221 957;0,0077;
6 марта 2023 – 12 марта 2023;232 940;0,0085;
13 марта 2023 – 19 марта 2023;225 014;0,0078;
20 марта 2023 – 26 марта 2023;227 530;0,0082;
27 марта 2023 – 2 апреля 2023;227 723;0,0083;
3 апреля 2023 – 9 апреля 2023;239 203;0,0087;
10 апреля 2023 – 16 апреля 2023;201 166;0,0074;
17 апреля 2023 – 23 апреля 2023;211 777;0,0078;
24 апреля 2023 – 30 апреля 2023;197 282;0,0074;
1 мая 2023 – 7 мая 2023;899 819;0,0355;
8 мая 2023 – 14 мая 2023;398 677;0,0159;
15 мая 2023 – 21 мая 2023;221 026;0,0085;
22 мая 2023 – 28 мая 2023;350 948;0,0140;
29 мая 2023 – 4 июня 2023;206 996;0,0084;
5 июня 2023 – 11 июня 2023;198 923;0,0083;
12 июня 2023 – 18 июня 2023;201 701;0,0086;
19 июня 2023 – 25 июня 2023;183 183;0,0076;
26 июня 2023 – 2 июля 2023;181 227;0,0077;
3 июля 2023 – 9 июля 2023;196 099;0,0087;
10 июля 2023 – 16 июля 2023;202 311;0,0088;
17 июля 2023 – 23 июля 2023;200 976;0,0088;
24 июля 2023 – 30 июля 2023;203 779;0,0089;
31 июля 2023 – 6 августа 2023;217 456;0,0097;
7 августа 2023 – 13 августа 2023;311 728;0,0136;
14 августа 2023 – 20 августа 2023;197 322;0,0087;
21 августа 2023 – 27 августа 2023;298 222;0,0133;
28 августа 2023 – 3 сентября 2023;436 973;0,0196;
4 сентября 2023 – 10 сентября 2023;186 975;0,0076;
11 сентября 2023 – 17 сентября 2023;187 533;0,0074;
18 сентября 2023 – 24 сентября 2023;300 945;0,0116;
25 сентября 2023 – 1 октября 2023;208 793;0,0080;
2 октября 2023 – 8 октября 2023;195 801;0,0074;
9 октября 2023 – 15 октября 2023;188 049;0,0070;
16 октября 2023 – 22 октября 2023;203 867;0,0074;
23 октября 2023 – 29 октября 2023;210 315;0,0078;
30 октября 2023 – 5 ноября 2023;228 681;0,0090;
6 ноября 2023 – 12 ноября 2023;212 551;0,0079;
13 ноября 2023 – 19 ноября 2023;202 350;0,0073;
20 ноября 2023 – 26 ноября 2023;233 310;0,0083;
27 ноября 2023 – 3 декабря 2023;199 096;0,0070;
4 декабря 2023 – 10 декабря 2023;217 063;0,0076;
11 декабря 2023 – 17 декабря 2023;199 385;0,0071;
18 декабря 2023 – 24 декабря 2023;281 491;0,0103;
25 декабря 2023 – 31 декабря 2023;189 422;0,0079;
1 января 2024 – 7 января 2024;197 824;0,0084;
8 января 2024 – 14 января 2024;220 529;0,0081;
15 января 2024 – 21 января 2024;237 853;0,0084;
22 января 2024 – 28 января 2024;224 004;0,0078;
29 января 2024 – 4 февраля 2024;223 670;0,0078;
5 февраля 2024 – 11 февраля 2024;220 654;0,0076;
12 февраля 2024 – 18 февраля 2024;244 469;0,0084;
19 февраля 2024 – 25 февраля 2024;273 823;0,0099;
