Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «тревожность», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
17 апреля 2023 – 23 апреля 2023;52 623;0,00195;
24 апреля 2023 – 30 апреля 2023;49 096;0,00186;
1 мая 2023 – 7 мая 2023;45 416;0,00179;
8 мая 2023 – 14 мая 2023;47 545;0,00189;
15 мая 2023 – 21 мая 2023;52 324;0,00201;
22 мая 2023 – 28 мая 2023;50 805;0,00203;
29 мая 2023 – 4 июня 2023;49 390;0,00202;
5 июня 2023 – 11 июня 2023;99 189;0,00413;
12 июня 2023 – 18 июня 2023;64 507;0,00276;
19 июня 2023 – 25 июня 2023;45 509;0,00190;
26 июня 2023 – 2 июля 2023;39 309;0,00169;
3 июля 2023 – 9 июля 2023;32 453;0,00144;
10 июля 2023 – 16 июля 2023;31 278;0,00136;
17 июля 2023 – 23 июля 2023;31 395;0,00138;
24 июля 2023 – 30 июля 2023;31 044;0,00135;
31 июля 2023 – 6 августа 2023;31 511;0,00140;
7 августа 2023 – 13 августа 2023;32 395;0,00141;
14 августа 2023 – 20 августа 2023;31 439;0,00140;
21 августа 2023 – 27 августа 2023;30 746;0,00137;
28 августа 2023 – 3 сентября 2023;31 974;0,00143;
4 сентября 2023 – 10 сентября 2023;38 226;0,00156;
11 сентября 2023 – 17 сентября 2023;41 424;0,00164;
18 сентября 2023 – 24 сентября 2023;43 311;0,00168;
25 сентября 2023 – 1 октября 2023;45 760;0,00175;
2 октября 2023 – 8 октября 2023;46 454;0,00176;
9 октября 2023 – 15 октября 2023;51 333;0,00191;
16 октября 2023 – 22 октября 2023;53 937;0,00196;
23 октября 2023 – 29 октября 2023;54 451;0,00202;
30 октября 2023 – 5 ноября 2023;50 540;0,00199;
6 ноября 2023 – 12 ноября 2023;58 310;0,00219;
13 ноября 2023 – 19 ноября 2023;61 827;0,00224;
20 ноября 2023 – 26 ноября 2023;57 802;0,00207;
27 ноября 2023 – 3 декабря 2023;60 088;0,00213;
4 декабря 2023 – 10 декабря 2023;57 791;0,00203;
11 декабря 2023 – 17 декабря 2023;58 177;0,00208;
18 декабря 2023 – 24 декабря 2023;55 580;0,00203;
25 декабря 2023 – 31 декабря 2023;38 619;0,00162;
1 января 2024 – 7 января 2024;36 076;0,00154;
8 января 2024 – 14 января 2024;55 506;0,00206;
15 января 2024 – 21 января 2024;59 769;0,00211;
22 января 2024 – 28 января 2024;60 799;0,00214;
29 января 2024 – 4 февраля 2024;59 802;0,00209;
5 февраля 2024 – 11 февраля 2024;64 718;0,00224;
12 февраля 2024 – 18 февраля 2024;60 303;0,00209;
19 февраля 2024 – 25 февраля 2024;53 868;0,00195;
