Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «шашлыки», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
13 сентября 2021 – 19 сентября 2021;269 986;0,0107;
20 сентября 2021 – 26 сентября 2021;243 602;0,0094;
27 сентября 2021 – 3 октября 2021;233 598;0,0093;
4 октября 2021 – 10 октября 2021;245 143;0,0097;
11 октября 2021 – 17 октября 2021;238 048;0,0090;
18 октября 2021 – 24 октября 2021;219 499;0,0083;
25 октября 2021 – 31 октября 2021;254 543;0,0099;
1 ноября 2021 – 7 ноября 2021;284 496;0,0115;
8 ноября 2021 – 14 ноября 2021;216 083;0,0079;
15 ноября 2021 – 21 ноября 2021;216 908;0,0078;
22 ноября 2021 – 28 ноября 2021;214 599;0,0078;
29 ноября 2021 – 5 декабря 2021;206 297;0,0075;
6 декабря 2021 – 12 декабря 2021;210 832;0,0076;
13 декабря 2021 – 19 декабря 2021;222 406;0,0080;
20 декабря 2021 – 26 декабря 2021;253 412;0,0093;
27 декабря 2021 – 2 января 2022;409 310;0,0180;
3 января 2022 – 9 января 2022;314 855;0,0134;
10 января 2022 – 16 января 2022;237 354;0,0086;
17 января 2022 – 23 января 2022;250 610;0,0088;
24 января 2022 – 30 января 2022;259 787;0,0089;
31 января 2022 – 6 февраля 2022;267 195;0,0090;
7 февраля 2022 – 13 февраля 2022;279 311;0,0092;
14 февраля 2022 – 20 февраля 2022;306 816;0,0104;
21 февраля 2022 – 27 февраля 2022;387 833;0,0137;
28 февраля 2022 – 6 марта 2022;295 929;0,0102;
7 марта 2022 – 13 марта 2022;323 901;0,0116;
14 марта 2022 – 20 марта 2022;278 427;0,0095;
21 марта 2022 – 27 марта 2022;309 000;0,0108;
28 марта 2022 – 3 апреля 2022;313 212;0,0110;
4 апреля 2022 – 10 апреля 2022;347 221;0,0122;
11 апреля 2022 – 17 апреля 2022;407 243;0,0145;
18 апреля 2022 – 24 апреля 2022;567 578;0,0205;
25 апреля 2022 – 1 мая 2022;864 971;0,0326;
2 мая 2022 – 8 мая 2022;906 525;0,0362;
9 мая 2022 – 15 мая 2022;616 257;0,0228;
16 мая 2022 – 22 мая 2022;479 537;0,0169;
23 мая 2022 – 29 мая 2022;490 250;0,0179;
30 мая 2022 – 5 июня 2022;517 622;0,0203;
6 июня 2022 – 12 июня 2022;644 851;0,0261;
13 июня 2022 – 19 июня 2022;530 209;0,0215;
20 июня 2022 – 26 июня 2022;539 145;0,0212;
27 июня 2022 – 3 июля 2022;533 406;0,0223;
4 июля 2022 – 10 июля 2022;532 641;0,0228;
11 июля 2022 – 17 июля 2022;507 349;0,0214;
18 июля 2022 – 24 июля 2022;486 708;0,0206;
25 июля 2022 – 31 июля 2022;481 432;0,0204;
1 августа 2022 – 7 августа 2022;476 004;0,0202;
8 августа 2022 – 14 августа 2022;466 545;0,0197;
15 августа 2022 – 21 августа 2022;425 913;0,0175;
22 августа 2022 – 28 августа 2022;412 463;0,0169;
29 августа 2022 – 4 сентября 2022;338 040;0,0134;
5 сентября 2022 – 11 сентября 2022;307 204;0,0113;
12 сентября 2022 – 18 сентября 2022;284 939;0,0104;
19 сентября 2022 – 25 сентября 2022;239 647;0,0086;
26 сентября 2022 – 2 октября 2022;223 970;0,0082;
3 октября 2022 – 9 октября 2022;243 796;0,0089;
10 октября 2022 – 16 октября 2022;249 972;0,0090;
17 октября 2022 – 23 октября 2022;237 782;0,0082;
24 октября 2022 – 30 октября 2022;237 200;0,0084;
31 октября 2022 – 6 ноября 2022;273 645;0,0099;
7 ноября 2022 – 13 ноября 2022;231 370;0,0080;
14 ноября 2022 – 20 ноября 2022;233 280;0,0077;
21 ноября 2022 – 27 ноября 2022;229 765;0,0077;
28 ноября 2022 – 4 декабря 2022;211 770;0,0071;
5 декабря 2022 – 11 декабря 2022;215 537;0,0072;
12 декабря 2022 – 18 декабря 2022;220 951;0,0075;
19 декабря 2022 – 25 декабря 2022;250 208;0,0086;
26 декабря 2022 – 1 января 2023;388 272;0,0161;
2 января 2023 – 8 января 2023;302 134;0,0124;
9 января 2023 – 15 января 2023;239 364;0,0084;
16 января 2023 – 22 января 2023;241 598;0,0083;
23 января 2023 – 29 января 2023;256 934;0,0088;
30 января 2023 – 5 февраля 2023;264 245;0,0091;
6 февраля 2023 – 12 февраля 2023;266 549;0,0092;
13 февраля 2023 – 19 февраля 2023;291 488;0,0101;
20 февраля 2023 – 26 февраля 2023;456 238;0,0168;
27 февраля 2023 – 5 марта 2023;285 664;0,0099;
6 марта 2023 – 12 марта 2023;424 954;0,0155;
13 марта 2023 – 19 марта 2023;300 196;0,0105;
20 марта 2023 – 26 марта 2023;326 538;0,0118;
27 марта 2023 – 2 апреля 2023;324 715;0,0119;
3 апреля 2023 – 9 апреля 2023;394 671;0,0144;
10 апреля 2023 – 16 апреля 2023;529 934;0,0196;
17 апреля 2023 – 23 апреля 2023;495 516;0,0184;
24 апреля 2023 – 30 апреля 2023;705 909;0,0267;
1 мая 2023 – 7 мая 2023;760 776;0,0300;
8 мая 2023 – 14 мая 2023;667 907;0,0266;
15 мая 2023 – 21 мая 2023;482 453;0,0185;
22 мая 2023 – 28 мая 2023;470 740;0,0188;
29 мая 2023 – 4 июня 2023;469 573;0,0192;
5 июня 2023 – 11 июня 2023;525 795;0,0219;
12 июня 2023 – 18 июня 2023;507 093;0,0217;
19 июня 2023 – 25 июня 2023;455 413;0,0190;
26 июня 2023 – 2 июля 2023;475 591;0,0204;
3 июля 2023 – 9 июля 2023;486 643;0,0216;
10 июля 2023 – 16 июля 2023;459 708;0,0200;
17 июля 2023 – 23 июля 2023;451 939;0,0199;
24 июля 2023 – 30 июля 2023;446 518;0,0195;
31 июля 2023 – 6 августа 2023;455 095;0,0203;
7 августа 2023 – 13 августа 2023;432 745;0,0189;
14 августа 2023 – 20 августа 2023;410 633;0,0183;
21 августа 2023 – 27 августа 2023;344 169;0,0154;
28 августа 2023 – 3 сентября 2023;332 284;0,0149;
4 сентября 2023 – 10 сентября 2023;294 062;0,0120;
11 сентября 2023 – 17 сентября 2023;307 672;0,0122;
18 сентября 2023 – 24 сентября 2023;319 365;0,0124;
25 сентября 2023 – 1 октября 2023;292 064;0,0112;
2 октября 2023 – 8 октября 2023;260 607;0,0099;
9 октября 2023 – 15 октября 2023;263 959;0,0098;
16 октября 2023 – 22 октября 2023;236 492;0,0086;
23 октября 2023 – 29 октября 2023;236 859;0,0088;
30 октября 2023 – 5 ноября 2023;270 539;0,0106;
6 ноября 2023 – 12 ноября 2023;235 290;0,0088;
13 ноября 2023 – 19 ноября 2023;230 075;0,0083;
20 ноября 2023 – 26 ноября 2023;226 492;0,0081;
27 ноября 2023 – 3 декабря 2023;220 933;0,0078;
4 декабря 2023 – 10 декабря 2023;213 054;0,0074;
11 декабря 2023 – 17 декабря 2023;221 842;0,0079;
18 декабря 2023 – 24 декабря 2023;244 167;0,0089;
25 декабря 2023 – 31 декабря 2023;410 428;0,0172;
1 января 2024 – 7 января 2024;303 094;0,0130;
8 января 2024 – 14 января 2024;239 032;0,0088;
15 января 2024 – 21 января 2024;239 600;0,0084;
22 января 2024 – 28 января 2024;252 288;0,0088;
29 января 2024 – 4 февраля 2024;273 556;0,0095;
5 февраля 2024 – 11 февраля 2024;280 984;0,0097;
12 февраля 2024 – 18 февраля 2024;301 014;0,0104;
19 февраля 2024 – 25 февраля 2024;457 929;0,0166;
