Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «сделать аборт», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
6 сентября 2021 – 12 сентября 2021;11 142;0,00046;
13 сентября 2021 – 19 сентября 2021;11 344;0,00045;
20 сентября 2021 – 26 сентября 2021;12 491;0,00048;
27 сентября 2021 – 3 октября 2021;11 388;0,00045;
4 октября 2021 – 10 октября 2021;11 711;0,00046;
11 октября 2021 – 17 октября 2021;12 037;0,00045;
18 октября 2021 – 24 октября 2021;12 169;0,00046;
25 октября 2021 – 31 октября 2021;12 684;0,00049;
1 ноября 2021 – 7 ноября 2021;13 673;0,00055;
8 ноября 2021 – 14 ноября 2021;13 476;0,00049;
15 ноября 2021 – 21 ноября 2021;17 591;0,00063;
22 ноября 2021 – 28 ноября 2021;12 838;0,00046;
29 ноября 2021 – 5 декабря 2021;13 009;0,00047;
6 декабря 2021 – 12 декабря 2021;12 441;0,00045;
13 декабря 2021 – 19 декабря 2021;12 257;0,00044;
20 декабря 2021 – 26 декабря 2021;12 690;0,00046;
27 декабря 2021 – 2 января 2022;9 991;0,00044;
3 января 2022 – 9 января 2022;13 447;0,00057;
10 января 2022 – 16 января 2022;16 362;0,00059;
17 января 2022 – 23 января 2022;15 072;0,00053;
24 января 2022 – 30 января 2022;15 580;0,00053;
31 января 2022 – 6 февраля 2022;14 315;0,00048;
7 февраля 2022 – 13 февраля 2022;14 032;0,00046;
14 февраля 2022 – 20 февраля 2022;12 918;0,00043;
21 февраля 2022 – 27 февраля 2022;12 170;0,00043;
28 февраля 2022 – 6 марта 2022;11 617;0,00040;
7 марта 2022 – 13 марта 2022;12 209;0,00043;
14 марта 2022 – 20 марта 2022;12 831;0,00044;
21 марта 2022 – 27 марта 2022;12 951;0,00045;
28 марта 2022 – 3 апреля 2022;13 594;0,00047;
4 апреля 2022 – 10 апреля 2022;13 019;0,00045;
11 апреля 2022 – 17 апреля 2022;12 956;0,00046;
18 апреля 2022 – 24 апреля 2022;12 075;0,00043;
25 апреля 2022 – 1 мая 2022;12 678;0,00047;
2 мая 2022 – 8 мая 2022;12 588;0,00050;
9 мая 2022 – 15 мая 2022;13 117;0,00048;
16 мая 2022 – 22 мая 2022;13 760;0,00048;
23 мая 2022 – 29 мая 2022;12 434;0,00045;
30 мая 2022 – 5 июня 2022;12 571;0,00049;
6 июня 2022 – 12 июня 2022;12 592;0,00051;
13 июня 2022 – 19 июня 2022;12 738;0,00051;
20 июня 2022 – 26 июня 2022;13 240;0,00052;
27 июня 2022 – 3 июля 2022;15 431;0,00064;
4 июля 2022 – 10 июля 2022;13 331;0,00057;
11 июля 2022 – 17 июля 2022;14 692;0,00062;
18 июля 2022 – 24 июля 2022;13 465;0,00057;
25 июля 2022 – 31 июля 2022;13 334;0,00056;
1 августа 2022 – 7 августа 2022;13 337;0,00056;
8 августа 2022 – 14 августа 2022;13 223;0,00055;
15 августа 2022 – 21 августа 2022;12 889;0,00053;
22 августа 2022 – 28 августа 2022;12 591;0,00051;
29 августа 2022 – 4 сентября 2022;11 791;0,00046;
5 сентября 2022 – 11 сентября 2022;12 295;0,00045;
12 сентября 2022 – 18 сентября 2022;11 955;0,00043;
19 сентября 2022 – 25 сентября 2022;12 159;0,00043;
26 сентября 2022 – 2 октября 2022;11 317;0,00041;
3 октября 2022 – 9 октября 2022;12 398;0,00045;
10 октября 2022 – 16 октября 2022;12 619;0,00045;
17 октября 2022 – 23 октября 2022;14 037;0,00048;
24 октября 2022 – 30 октября 2022;13 124;0,00046;
31 октября 2022 – 6 ноября 2022;14 073;0,00051;
7 ноября 2022 – 13 ноября 2022;13 939;0,00048;
14 ноября 2022 – 20 ноября 2022;12 739;0,00042;
21 ноября 2022 – 27 ноября 2022;13 189;0,00044;
28 ноября 2022 – 4 декабря 2022;12 884;0,00043;
5 декабря 2022 – 11 декабря 2022;13 276;0,00044;
12 декабря 2022 – 18 декабря 2022;13 120;0,00044;
19 декабря 2022 – 25 декабря 2022;13 073;0,00045;
26 декабря 2022 – 1 января 2023;10 306;0,00042;
2 января 2023 – 8 января 2023;13 584;0,00055;
9 января 2023 – 15 января 2023;13 867;0,00048;
16 января 2023 – 22 января 2023;13 596;0,00046;
23 января 2023 – 29 января 2023;13 828;0,00047;
30 января 2023 – 5 февраля 2023;13 662;0,00047;
6 февраля 2023 – 12 февраля 2023;12 820;0,00044;
13 февраля 2023 – 19 февраля 2023;12 354;0,00043;
20 февраля 2023 – 26 февраля 2023;12 068;0,00044;
27 февраля 2023 – 5 марта 2023;13 842;0,00048;
6 марта 2023 – 12 марта 2023;12 874;0,00047;
13 марта 2023 – 19 марта 2023;13 037;0,00045;
20 марта 2023 – 26 марта 2023;13 134;0,00047;
27 марта 2023 – 2 апреля 2023;13 235;0,00048;
3 апреля 2023 – 9 апреля 2023;13 460;0,00049;
10 апреля 2023 – 16 апреля 2023;11 675;0,00043;
17 апреля 2023 – 23 апреля 2023;13 072;0,00048;
24 апреля 2023 – 30 апреля 2023;11 668;0,00044;
1 мая 2023 – 7 мая 2023;12 369;0,00048;
8 мая 2023 – 14 мая 2023;12 430;0,00049;
15 мая 2023 – 21 мая 2023;11 711;0,00045;
22 мая 2023 – 28 мая 2023;11 998;0,00048;
29 мая 2023 – 4 июня 2023;12 186;0,00049;
5 июня 2023 – 11 июня 2023;12 299;0,00051;
12 июня 2023 – 18 июня 2023;13 146;0,00056;
19 июня 2023 – 25 июня 2023;12 871;0,00053;
26 июня 2023 – 2 июля 2023;13 670;0,00058;
3 июля 2023 – 9 июля 2023;13 604;0,00060;
10 июля 2023 – 16 июля 2023;14 530;0,00063;
17 июля 2023 – 23 июля 2023;14 229;0,00062;
24 июля 2023 – 30 июля 2023;13 633;0,00059;
31 июля 2023 – 6 августа 2023;13 090;0,00058;
7 августа 2023 – 13 августа 2023;13 612;0,00059;
14 августа 2023 – 20 августа 2023;12 749;0,00056;
21 августа 2023 – 27 августа 2023;13 156;0,00058;
28 августа 2023 – 3 сентября 2023;12 161;0,00054;
4 сентября 2023 – 10 сентября 2023;11 779;0,00048;
11 сентября 2023 – 17 сентября 2023;12 509;0,00049;
18 сентября 2023 – 24 сентября 2023;12 619;0,00049;
25 сентября 2023 – 1 октября 2023;12 633;0,00048;
2 октября 2023 – 8 октября 2023;12 788;0,00048;
9 октября 2023 – 15 октября 2023;13 651;0,00050;
16 октября 2023 – 22 октября 2023;13 354;0,00048;
23 октября 2023 – 29 октября 2023;13 435;0,00049;
30 октября 2023 – 5 ноября 2023;14 052;0,00055;
6 ноября 2023 – 12 ноября 2023;14 721;0,00055;
13 ноября 2023 – 19 ноября 2023;14 893;0,00054;
20 ноября 2023 – 26 ноября 2023;14 106;0,00050;
27 ноября 2023 – 3 декабря 2023;14 415;0,00051;
4 декабря 2023 – 10 декабря 2023;14 241;0,00050;
11 декабря 2023 – 17 декабря 2023;14 010;0,00050;
18 декабря 2023 – 24 декабря 2023;13 660;0,00050;
25 декабря 2023 – 31 декабря 2023;11 476;0,00048;
1 января 2024 – 7 января 2024;14 558;0,00062;
8 января 2024 – 14 января 2024;15 714;0,00058;
15 января 2024 – 21 января 2024;15 220;0,00053;
22 января 2024 – 28 января 2024;15 417;0,00054;
29 января 2024 – 4 февраля 2024;15 138;0,00053;
5 февраля 2024 – 11 февраля 2024;14 975;0,00051;
12 февраля 2024 – 18 февраля 2024;13 750;0,00047;
19 февраля 2024 – 25 февраля 2024;14 245;0,00051;
