Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «последствия аборта», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
10 мая 2021 – 16 мая 2021;1 104;0,000046;
17 мая 2021 – 23 мая 2021;1 130;0,000046;
24 мая 2021 – 30 мая 2021;1 067;0,000045;
31 мая 2021 – 6 июня 2021;1 026;0,000044;
7 июня 2021 – 13 июня 2021;1 034;0,000044;
14 июня 2021 – 20 июня 2021;915;0,000040;
21 июня 2021 – 27 июня 2021;769;0,000033;
28 июня 2021 – 4 июля 2021;833;0,000037;
5 июля 2021 – 11 июля 2021;703;0,000032;
12 июля 2021 – 18 июля 2021;786;0,000036;
19 июля 2021 – 25 июля 2021;838;0,000038;
26 июля 2021 – 1 августа 2021;797;0,000036;
2 августа 2021 – 8 августа 2021;721;0,000032;
9 августа 2021 – 15 августа 2021;731;0,000032;
16 августа 2021 – 22 августа 2021;750;0,000033;
23 августа 2021 – 29 августа 2021;743;0,000032;
30 августа 2021 – 5 сентября 2021;698;0,000029;
6 сентября 2021 – 12 сентября 2021;798;0,000033;
13 сентября 2021 – 19 сентября 2021;1 017;0,000040;
20 сентября 2021 – 26 сентября 2021;979;0,000038;
27 сентября 2021 – 3 октября 2021;1 001;0,000039;
4 октября 2021 – 10 октября 2021;946;0,000037;
11 октября 2021 – 17 октября 2021;1 001;0,000038;
18 октября 2021 – 24 октября 2021;998;0,000037;
25 октября 2021 – 31 октября 2021;1 078;0,000042;
1 ноября 2021 – 7 ноября 2021;1 087;0,000044;
8 ноября 2021 – 14 ноября 2021;1 162;0,000042;
15 ноября 2021 – 21 ноября 2021;1 197;0,000043;
22 ноября 2021 – 28 ноября 2021;1 323;0,000048;
29 ноября 2021 – 5 декабря 2021;1 212;0,000044;
6 декабря 2021 – 12 декабря 2021;1 172;0,000042;
13 декабря 2021 – 19 декабря 2021;1 207;0,000043;
20 декабря 2021 – 26 декабря 2021;1 109;0,000040;
27 декабря 2021 – 2 января 2022;671;0,000029;
3 января 2022 – 9 января 2022;845;0,000036;
10 января 2022 – 16 января 2022;1 113;0,000040;
17 января 2022 – 23 января 2022;1 143;0,000040;
24 января 2022 – 30 января 2022;1 071;0,000036;
31 января 2022 – 6 февраля 2022;1 050;0,000035;
7 февраля 2022 – 13 февраля 2022;1 035;0,000034;
14 февраля 2022 – 20 февраля 2022;936;0,000031;
21 февраля 2022 – 27 февраля 2022;844;0,000029;
28 февраля 2022 – 6 марта 2022;897;0,000031;
7 марта 2022 – 13 марта 2022;959;0,000034;
14 марта 2022 – 20 марта 2022;1 072;0,000036;
21 марта 2022 – 27 марта 2022;1 195;0,000042;
28 марта 2022 – 3 апреля 2022;1 027;0,000036;
4 апреля 2022 – 10 апреля 2022;1 105;0,000038;
11 апреля 2022 – 17 апреля 2022;1 254;0,000044;
18 апреля 2022 – 24 апреля 2022;1 111;0,000040;
25 апреля 2022 – 1 мая 2022;1 111;0,000041;
2 мая 2022 – 8 мая 2022;1 029;0,000041;
9 мая 2022 – 15 мая 2022;1 135;0,000042;
16 мая 2022 – 22 мая 2022;1 254;0,000044;
23 мая 2022 – 29 мая 2022;1 108;0,000040;
30 мая 2022 – 5 июня 2022;1 024;0,000040;
6 июня 2022 – 12 июня 2022;1 041;0,000042;
13 июня 2022 – 19 июня 2022;979;0,000039;
20 июня 2022 – 26 июня 2022;1 063;0,000041;
27 июня 2022 – 3 июля 2022;960;0,000040;
4 июля 2022 – 10 июля 2022;862;0,000036;
11 июля 2022 – 17 июля 2022;916;0,000038;
18 июля 2022 – 24 июля 2022;907;0,000038;
25 июля 2022 – 31 июля 2022;844;0,000035;
1 августа 2022 – 7 августа 2022;893;0,000037;
8 августа 2022 – 14 августа 2022;834;0,000035;
15 августа 2022 – 21 августа 2022;864;0,000035;
22 августа 2022 – 28 августа 2022;852;0,000034;
29 августа 2022 – 4 сентября 2022;825;0,000032;
5 сентября 2022 – 11 сентября 2022;794;0,000029;
12 сентября 2022 – 18 сентября 2022;948;0,000034;
19 сентября 2022 – 25 сентября 2022;946;0,000034;
26 сентября 2022 – 2 октября 2022;876;0,000032;
3 октября 2022 – 9 октября 2022;1 003;0,000036;
10 октября 2022 – 16 октября 2022;1 109;0,000040;
17 октября 2022 – 23 октября 2022;1 201;0,000041;
24 октября 2022 – 30 октября 2022;1 191;0,000042;
31 октября 2022 – 6 ноября 2022;1 153;0,000041;
7 ноября 2022 – 13 ноября 2022;1 322;0,000046;
14 ноября 2022 – 20 ноября 2022;1 321;0,000044;
21 ноября 2022 – 27 ноября 2022;1 238;0,000041;
28 ноября 2022 – 4 декабря 2022;1 264;0,000042;
5 декабря 2022 – 11 декабря 2022;1 119;0,000037;
12 декабря 2022 – 18 декабря 2022;1 040;0,000035;
19 декабря 2022 – 25 декабря 2022;1 252;0,000043;
26 декабря 2022 – 1 января 2023;769;0,000032;
2 января 2023 – 8 января 2023;813;0,000033;
9 января 2023 – 15 января 2023;1 100;0,000038;
16 января 2023 – 22 января 2023;1 108;0,000038;
23 января 2023 – 29 января 2023;1 225;0,000042;
30 января 2023 – 5 февраля 2023;1 074;0,000037;
6 февраля 2023 – 12 февраля 2023;1 066;0,000037;
13 февраля 2023 – 19 февраля 2023;1 043;0,000036;
20 февраля 2023 – 26 февраля 2023;1 009;0,000037;
27 февраля 2023 – 5 марта 2023;1 123;0,000039;
6 марта 2023 – 12 марта 2023;1 098;0,000040;
13 марта 2023 – 19 марта 2023;1 085;0,000038;
20 марта 2023 – 26 марта 2023;1 132;0,000041;
27 марта 2023 – 2 апреля 2023;1 201;0,000044;
3 апреля 2023 – 9 апреля 2023;1 219;0,000044;
10 апреля 2023 – 16 апреля 2023;1 225;0,000045;
17 апреля 2023 – 23 апреля 2023;1 176;0,000043;
24 апреля 2023 – 30 апреля 2023;1 093;0,000041;
1 мая 2023 – 7 мая 2023;1 037;0,000040;
8 мая 2023 – 14 мая 2023;1 163;0,000046;
15 мая 2023 – 21 мая 2023;1 181;0,000045;
22 мая 2023 – 28 мая 2023;1 084;0,000043;
29 мая 2023 – 4 июня 2023;1 106;0,000045;
5 июня 2023 – 11 июня 2023;1 096;0,000045;
12 июня 2023 – 18 июня 2023;1 024;0,000043;
19 июня 2023 – 25 июня 2023;1 090;0,000045;
26 июня 2023 – 2 июля 2023;1 050;0,000045;
3 июля 2023 – 9 июля 2023;1 025;0,000045;
10 июля 2023 – 16 июля 2023;1 032;0,000045;
17 июля 2023 – 23 июля 2023;1 067;0,000047;
24 июля 2023 – 30 июля 2023;924;0,000040;
31 июля 2023 – 6 августа 2023;934;0,000041;
7 августа 2023 – 13 августа 2023;1 019;0,000044;
14 августа 2023 – 20 августа 2023;799;0,000035;
21 августа 2023 – 27 августа 2023;880;0,000039;
28 августа 2023 – 3 сентября 2023;917;0,000041;
4 сентября 2023 – 10 сентября 2023;941;0,000038;
11 сентября 2023 – 17 сентября 2023;985;0,000039;
18 сентября 2023 – 24 сентября 2023;1 048;0,000040;
25 сентября 2023 – 1 октября 2023;1 176;0,000045;
2 октября 2023 – 8 октября 2023;1 173;0,000044;
9 октября 2023 – 15 октября 2023;1 216;0,000045;
16 октября 2023 – 22 октября 2023;1 326;0,000048;
23 октября 2023 – 29 октября 2023;1 430;0,000053;
30 октября 2023 – 5 ноября 2023;1 363;0,000053;
6 ноября 2023 – 12 ноября 2023;1 445;0,000054;
13 ноября 2023 – 19 ноября 2023;1 622;0,000058;
20 ноября 2023 – 26 ноября 2023;1 530;0,000054;
27 ноября 2023 – 3 декабря 2023;1 525;0,000054;
4 декабря 2023 – 10 декабря 2023;1 426;0,000050;
11 декабря 2023 – 17 декабря 2023;1 499;0,000053;
18 декабря 2023 – 24 декабря 2023;1 484;0,000054;
25 декабря 2023 – 31 декабря 2023;1 001;0,000042;
1 января 2024 – 7 января 2024;1 016;0,000043;
8 января 2024 – 14 января 2024;1 374;0,000050;
15 января 2024 – 21 января 2024;1 440;0,000051;
22 января 2024 – 28 января 2024;1 477;0,000052;
29 января 2024 – 4 февраля 2024;1 511;0,000052;
5 февраля 2024 – 11 февраля 2024;1 321;0,000045;
12 февраля 2024 – 18 февраля 2024;1 277;0,000044;
19 февраля 2024 – 25 февраля 2024;1 261;0,000045;
