Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «помидора», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
8 августа 2022 – 14 августа 2022;3 338 324;0,140;
15 августа 2022 – 21 августа 2022;4 316 252;0,178;
22 августа 2022 – 28 августа 2022;4 120 484;0,169;
29 августа 2022 – 4 сентября 2022;3 765 539;0,149;
5 сентября 2022 – 11 сентября 2022;3 353 624;0,124;
12 сентября 2022 – 18 сентября 2022;2 672 111;0,097;
19 сентября 2022 – 25 сентября 2022;1 979 394;0,071;
26 сентября 2022 – 2 октября 2022;1 575 544;0,058;
3 октября 2022 – 9 октября 2022;1 225 235;0,045;
10 октября 2022 – 16 октября 2022;946 107;0,034;
17 октября 2022 – 23 октября 2022;787 362;0,027;
24 октября 2022 – 30 октября 2022;633 186;0,022;
31 октября 2022 – 6 ноября 2022;552 010;0,020;
7 ноября 2022 – 13 ноября 2022;489 490;0,017;
14 ноября 2022 – 20 ноября 2022;465 926;0,015;
21 ноября 2022 – 27 ноября 2022;436 938;0,014;
28 ноября 2022 – 4 декабря 2022;421 976;0,014;
5 декабря 2022 – 11 декабря 2022;410 302;0,013;
12 декабря 2022 – 18 декабря 2022;399 800;0,013;
19 декабря 2022 – 25 декабря 2022;417 601;0,014;
26 декабря 2022 – 1 января 2023;622 321;0,025;
2 января 2023 – 8 января 2023;453 262;0,018;
9 января 2023 – 15 января 2023;491 596;0,017;
16 января 2023 – 22 января 2023;527 185;0,018;
23 января 2023 – 29 января 2023;566 880;0,019;
30 января 2023 – 5 февраля 2023;606 252;0,021;
6 февраля 2023 – 12 февраля 2023;599 606;0,020;
13 февраля 2023 – 19 февраля 2023;628 244;0,021;
20 февраля 2023 – 26 февраля 2023;664 883;0,024;
27 февраля 2023 – 5 марта 2023;870 106;0,030;
6 марта 2023 – 12 марта 2023;939 983;0,034;
13 марта 2023 – 19 марта 2023;994 384;0,034;
20 марта 2023 – 26 марта 2023;973 779;0,035;
27 марта 2023 – 2 апреля 2023;922 356;0,033;
3 апреля 2023 – 9 апреля 2023;881 378;0,032;
10 апреля 2023 – 16 апреля 2023;812 738;0,030;
17 апреля 2023 – 23 апреля 2023;899 246;0,033;
24 апреля 2023 – 30 апреля 2023;956 980;0,036;
1 мая 2023 – 7 мая 2023;984 067;0,038;
8 мая 2023 – 14 мая 2023;1 258 413;0,050;
15 мая 2023 – 21 мая 2023;1 367 303;0,052;
22 мая 2023 – 28 мая 2023;1 232 208;0,049;
29 мая 2023 – 4 июня 2023;1 114 942;0,045;
5 июня 2023 – 11 июня 2023;1 133 131;0,047;
12 июня 2023 – 18 июня 2023;1 197 146;0,051;
19 июня 2023 – 25 июня 2023;1 121 840;0,047;
26 июня 2023 – 2 июля 2023;1 120 146;0,048;
3 июля 2023 – 9 июля 2023;1 096 713;0,048;
10 июля 2023 – 16 июля 2023;1 140 059;0,049;
17 июля 2023 – 23 июля 2023;1 281 030;0,056;
24 июля 2023 – 30 июля 2023;1 552 343;0,067;
31 июля 2023 – 6 августа 2023;2 135 968;0,095;
7 августа 2023 – 13 августа 2023;3 067 922;0,134;
14 августа 2023 – 20 августа 2023;3 625 788;0,161;
21 августа 2023 – 27 августа 2023;3 338 792;0,149;
28 августа 2023 – 3 сентября 2023;2 789 491;0,125;
4 сентября 2023 – 10 сентября 2023;2 541 770;0,104;
11 сентября 2023 – 17 сентября 2023;2 063 176;0,081;
18 сентября 2023 – 24 сентября 2023;1 772 130;0,068;
25 сентября 2023 – 1 октября 2023;1 413 356;0,054;
2 октября 2023 – 8 октября 2023;1 128 565;0,042;
9 октября 2023 – 15 октября 2023;926 792;0,034;
16 октября 2023 – 22 октября 2023;789 721;0,028;
23 октября 2023 – 29 октября 2023;603 379;0,022;
30 октября 2023 – 5 ноября 2023;493 754;0,019;
6 ноября 2023 – 12 ноября 2023;469 298;0,017;
13 ноября 2023 – 19 ноября 2023;434 848;0,015;
20 ноября 2023 – 26 ноября 2023;409 011;0,014;
27 ноября 2023 – 3 декабря 2023;401 880;0,014;
4 декабря 2023 – 10 декабря 2023;390 617;0,013;
11 декабря 2023 – 17 декабря 2023;380 692;0,013;
18 декабря 2023 – 24 декабря 2023;386 823;0,014;
25 декабря 2023 – 31 декабря 2023;620 276;0,026;
1 января 2024 – 7 января 2024;412 706;0,017;
8 января 2024 – 14 января 2024;479 495;0,017;
15 января 2024 – 21 января 2024;516 487;0,018;
22 января 2024 – 28 января 2024;555 221;0,019;
29 января 2024 – 4 февраля 2024;608 880;0,021;
5 февраля 2024 – 11 февраля 2024;629 934;0,021;
12 февраля 2024 – 18 февраля 2024;655 052;0,022;
19 февраля 2024 – 25 февраля 2024;704 058;0,025;
