Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «самоубийство», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
19 октября 2020 – 25 октября 2020;50 622;0,0020;
26 октября 2020 – 1 ноября 2020;52 346;0,0020;
2 ноября 2020 – 8 ноября 2020;49 265;0,0019;
9 ноября 2020 – 15 ноября 2020;57 617;0,0021;
16 ноября 2020 – 22 ноября 2020;56 572;0,0020;
23 ноября 2020 – 29 ноября 2020;66 272;0,0023;
30 ноября 2020 – 6 декабря 2020;68 197;0,0025;
7 декабря 2020 – 13 декабря 2020;64 042;0,0024;
14 декабря 2020 – 20 декабря 2020;64 837;0,0025;
21 декабря 2020 – 27 декабря 2020;59 046;0,0024;
28 декабря 2020 – 3 января 2021;42 426;0,0021;
4 января 2021 – 10 января 2021;46 960;0,0022;
11 января 2021 – 17 января 2021;54 735;0,0022;
18 января 2021 – 24 января 2021;51 411;0,0020;
25 января 2021 – 31 января 2021;65 501;0,0026;
1 февраля 2021 – 7 февраля 2021;58 336;0,0023;
8 февраля 2021 – 14 февраля 2021;63 530;0,0025;
15 февраля 2021 – 21 февраля 2021;80 683;0,0031;
22 февраля 2021 – 28 февраля 2021;77 847;0,0032;
1 марта 2021 – 7 марта 2021;104 724;0,0043;
8 марта 2021 – 14 марта 2021;60 254;0,0024;
15 марта 2021 – 21 марта 2021;60 571;0,0024;
22 марта 2021 – 28 марта 2021;58 809;0,0024;
29 марта 2021 – 4 апреля 2021;61 688;0,0025;
5 апреля 2021 – 11 апреля 2021;66 108;0,0026;
12 апреля 2021 – 18 апреля 2021;60 362;0,0024;
19 апреля 2021 – 25 апреля 2021;55 163;0,0021;
26 апреля 2021 – 2 мая 2021;48 117;0,0020;
3 мая 2021 – 9 мая 2021;46 146;0,0021;
10 мая 2021 – 16 мая 2021;53 419;0,0022;
17 мая 2021 – 23 мая 2021;53 993;0,0022;
24 мая 2021 – 30 мая 2021;51 545;0,0021;
31 мая 2021 – 6 июня 2021;49 923;0,0021;
7 июня 2021 – 13 июня 2021;49 592;0,0021;
14 июня 2021 – 20 июня 2021;49 838;0,0022;
21 июня 2021 – 27 июня 2021;45 376;0,0020;
28 июня 2021 – 4 июля 2021;46 164;0,0020;
5 июля 2021 – 11 июля 2021;44 209;0,0020;
12 июля 2021 – 18 июля 2021;41 166;0,0019;
19 июля 2021 – 25 июля 2021;40 239;0,0018;
26 июля 2021 – 1 августа 2021;40 827;0,0018;
2 августа 2021 – 8 августа 2021;45 893;0,0020;
9 августа 2021 – 15 августа 2021;50 188;0,0022;
