Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «что подарить на день рождения», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 февраля 2021 – 7 февраля 2021;146 219;0,0059;
8 февраля 2021 – 14 февраля 2021;140 983;0,0056;
15 февраля 2021 – 21 февраля 2021;135 193;0,0053;
22 февраля 2021 – 28 февраля 2021;133 071;0,0054;
1 марта 2021 – 7 марта 2021;127 076;0,0052;
8 марта 2021 – 14 марта 2021;125 942;0,0051;
15 марта 2021 – 21 марта 2021;135 562;0,0054;
22 марта 2021 – 28 марта 2021;125 035;0,0052;
29 марта 2021 – 4 апреля 2021;134 929;0,0055;
5 апреля 2021 – 11 апреля 2021;142 069;0,0056;
12 апреля 2021 – 18 апреля 2021;134 897;0,0054;
19 апреля 2021 – 25 апреля 2021;146 908;0,0058;
26 апреля 2021 – 2 мая 2021;132 570;0,0055;
3 мая 2021 – 9 мая 2021;121 776;0,0055;
10 мая 2021 – 16 мая 2021;143 912;0,0060;
17 мая 2021 – 23 мая 2021;141 659;0,0057;
24 мая 2021 – 30 мая 2021;136 320;0,0057;
31 мая 2021 – 6 июня 2021;145 665;0,0062;
7 июня 2021 – 13 июня 2021;148 387;0,0063;
14 июня 2021 – 20 июня 2021;140 243;0,0062;
21 июня 2021 – 27 июня 2021;139 342;0,0061;
28 июня 2021 – 4 июля 2021;150 928;0,0067;
5 июля 2021 – 11 июля 2021;146 913;0,0067;
12 июля 2021 – 18 июля 2021;146 199;0,0067;
19 июля 2021 – 25 июля 2021;154 103;0,0070;
26 июля 2021 – 1 августа 2021;153 440;0,0069;
2 августа 2021 – 8 августа 2021;160 389;0,0072;
9 августа 2021 – 15 августа 2021;158 120;0,0071;
16 августа 2021 – 22 августа 2021;156 710;0,0069;
23 августа 2021 – 29 августа 2021;156 992;0,0068;
30 августа 2021 – 5 сентября 2021;155 372;0,0065;
6 сентября 2021 – 12 сентября 2021;162 078;0,0067;
13 сентября 2021 – 19 сентября 2021;169 437;0,0067;
20 сентября 2021 – 26 сентября 2021;176 323;0,0068;
27 сентября 2021 – 3 октября 2021;165 376;0,0066;
4 октября 2021 – 10 октября 2021;158 861;0,0063;
11 октября 2021 – 17 октября 2021;168 769;0,0064;
18 октября 2021 – 24 октября 2021;160 718;0,0060;
25 октября 2021 – 31 октября 2021;158 078;0,0061;
1 ноября 2021 – 7 ноября 2021;161 975;0,0065;
8 ноября 2021 – 14 ноября 2021;176 105;0,0064;
15 ноября 2021 – 21 ноября 2021;176 312;0,0063;
22 ноября 2021 – 28 ноября 2021;168 027;0,0061;
29 ноября 2021 – 5 декабря 2021;172 140;0,0063;
6 декабря 2021 – 12 декабря 2021;159 218;0,0057;
13 декабря 2021 – 19 декабря 2021;144 184;0,0052;
20 декабря 2021 – 26 декабря 2021;121 210;0,0044;
27 декабря 2021 – 2 января 2022;89 376;0,0039;
3 января 2022 – 9 января 2022;145 789;0,0062;
10 января 2022 – 16 января 2022;187 733;0,0068;
17 января 2022 – 23 января 2022;182 702;0,0064;
24 января 2022 – 30 января 2022;168 764;0,0058;
31 января 2022 – 6 февраля 2022;179 328;0,0060;
7 февраля 2022 – 13 февраля 2022;181 543;0,0060;
14 февраля 2022 – 20 февраля 2022;158 489;0,0053;
21 февраля 2022 – 27 февраля 2022;132 262;0,0046;
28 февраля 2022 – 6 марта 2022;138 084;0,0048;
7 марта 2022 – 13 марта 2022;137 976;0,0049;
14 марта 2022 – 20 марта 2022;159 995;0,0054;
21 марта 2022 – 27 марта 2022;162 785;0,0057;
28 марта 2022 – 3 апреля 2022;161 964;0,0057;
4 апреля 2022 – 10 апреля 2022;157 910;0,0055;
11 апреля 2022 – 17 апреля 2022;157 446;0,0056;
18 апреля 2022 – 24 апреля 2022;146 840;0,0053;
25 апреля 2022 – 1 мая 2022;146 757;0,0055;
2 мая 2022 – 8 мая 2022;145 713;0,0058;
9 мая 2022 – 15 мая 2022;154 389;0,0057;
16 мая 2022 – 22 мая 2022;163 925;0,0057;
23 мая 2022 – 29 мая 2022;153 254;0,0056;
30 мая 2022 – 5 июня 2022;147 938;0,0058;
6 июня 2022 – 12 июня 2022;150 613;0,0061;
13 июня 2022 – 19 июня 2022;155 253;0,0063;
20 июня 2022 – 26 июня 2022;145 764;0,0057;
27 июня 2022 – 3 июля 2022;150 713;0,0063;
4 июля 2022 – 10 июля 2022;154 902;0,0066;
11 июля 2022 – 17 июля 2022;160 885;0,0067;
18 июля 2022 – 24 июля 2022;159 460;0,0067;
25 июля 2022 – 31 июля 2022;158 272;0,0067;
1 августа 2022 – 7 августа 2022;165 131;0,0070;
8 августа 2022 – 14 августа 2022;161 690;0,0068;
15 августа 2022 – 21 августа 2022;156 051;0,0064;
22 августа 2022 – 28 августа 2022;146 806;0,0060;
29 августа 2022 – 4 сентября 2022;148 691;0,0058;
5 сентября 2022 – 11 сентября 2022;169 878;0,0062;
12 сентября 2022 – 18 сентября 2022;175 661;0,0064;
19 сентября 2022 – 25 сентября 2022;150 768;0,0054;
26 сентября 2022 – 2 октября 2022;152 723;0,0056;
3 октября 2022 – 9 октября 2022;177 054;0,0065;
10 октября 2022 – 16 октября 2022;169 115;0,0061;
17 октября 2022 – 23 октября 2022;166 216;0,0057;
24 октября 2022 – 30 октября 2022;171 375;0,0060;
31 октября 2022 – 6 ноября 2022;176 082;0,0063;
7 ноября 2022 – 13 ноября 2022;155 705;0,0054;
14 ноября 2022 – 20 ноября 2022;152 556;0,0050;
21 ноября 2022 – 27 ноября 2022;144 252;0,0048;
28 ноября 2022 – 4 декабря 2022;146 262;0,0049;
5 декабря 2022 – 11 декабря 2022;139 332;0,0047;
12 декабря 2022 – 18 декабря 2022;120 906;0,0041;
19 декабря 2022 – 25 декабря 2022;101 412;0,0035;
26 декабря 2022 – 1 января 2023;69 557;0,0028;
2 января 2023 – 8 января 2023;112 880;0,0046;
9 января 2023 – 15 января 2023;150 038;0,0052;
16 января 2023 – 22 января 2023;152 062;0,0052;
23 января 2023 – 29 января 2023;147 678;0,0050;
30 января 2023 – 5 февраля 2023;150 051;0,0052;
6 февраля 2023 – 12 февраля 2023;137 892;0,0047;
13 февраля 2023 – 19 февраля 2023;133 140;0,0046;
