Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «что такое git», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
6 декабря 2021 – 12 декабря 2021;70 998;0,00258;
13 декабря 2021 – 19 декабря 2021;74 332;0,00268;
20 декабря 2021 – 26 декабря 2021;86 116;0,00316;
27 декабря 2021 – 2 января 2022;59 876;0,00264;
3 января 2022 – 9 января 2022;46 450;0,00198;
10 января 2022 – 16 января 2022;72 292;0,00264;
17 января 2022 – 23 января 2022;77 548;0,00274;
24 января 2022 – 30 января 2022;78 799;0,00271;
31 января 2022 – 6 февраля 2022;79 186;0,00268;
7 февраля 2022 – 13 февраля 2022;84 230;0,00279;
14 февраля 2022 – 20 февраля 2022;88 584;0,00300;
21 февраля 2022 – 27 февраля 2022;69 395;0,00245;
28 февраля 2022 – 6 марта 2022;76 122;0,00264;
7 марта 2022 – 13 марта 2022;66 308;0,00238;
14 марта 2022 – 20 марта 2022;84 499;0,00290;
21 марта 2022 – 27 марта 2022;77 994;0,00275;
28 марта 2022 – 3 апреля 2022;76 066;0,00267;
4 апреля 2022 – 10 апреля 2022;74 455;0,00261;
11 апреля 2022 – 17 апреля 2022;73 987;0,00264;
18 апреля 2022 – 24 апреля 2022;74 832;0,00270;
25 апреля 2022 – 1 мая 2022;67 230;0,00253;
2 мая 2022 – 8 мая 2022;55 723;0,00222;
9 мая 2022 – 15 мая 2022;66 631;0,00247;
16 мая 2022 – 22 мая 2022;77 113;0,00271;
23 мая 2022 – 29 мая 2022;83 760;0,00306;
30 мая 2022 – 5 июня 2022;84 617;0,00333;
6 июня 2022 – 12 июня 2022;78 906;0,00320;
13 июня 2022 – 19 июня 2022;67 237;0,00273;
20 июня 2022 – 26 июня 2022;77 624;0,00305;
27 июня 2022 – 3 июля 2022;76 471;0,00320;
4 июля 2022 – 10 июля 2022;68 472;0,00293;
11 июля 2022 – 17 июля 2022;69 239;0,00292;
18 июля 2022 – 24 июля 2022;69 708;0,00295;
25 июля 2022 – 31 июля 2022;68 339;0,00289;
1 августа 2022 – 7 августа 2022;71 626;0,00304;
8 августа 2022 – 14 августа 2022;68 178;0,00287;
15 августа 2022 – 21 августа 2022;74 791;0,00308;
22 августа 2022 – 28 августа 2022;70 242;0,00288;
29 августа 2022 – 4 сентября 2022;76 156;0,00302;
5 сентября 2022 – 11 сентября 2022;87 988;0,00325;
12 сентября 2022 – 18 сентября 2022;85 135;0,00311;
19 сентября 2022 – 25 сентября 2022;77 429;0,00278;
26 сентября 2022 – 2 октября 2022;74 221;0,00273;
3 октября 2022 – 9 октября 2022;81 938;0,00301;
10 октября 2022 – 16 октября 2022;80 418;0,00292;
17 октября 2022 – 23 октября 2022;85 429;0,00294;
24 октября 2022 – 30 октября 2022;85 969;0,00305;
31 октября 2022 – 6 ноября 2022;78 515;0,00284;
7 ноября 2022 – 13 ноября 2022;92 887;0,00323;
14 ноября 2022 – 20 ноября 2022;90 774;0,00302;
21 ноября 2022 – 27 ноября 2022;86 593;0,00290;
28 ноября 2022 – 4 декабря 2022;86 922;0,00292;
5 декабря 2022 – 11 декабря 2022;95 918;0,00323;
12 декабря 2022 – 18 декабря 2022;88 072;0,00300;
19 декабря 2022 – 25 декабря 2022;79 337;0,00274;
26 декабря 2022 – 1 января 2023;55 846;0,00232;
2 января 2023 – 8 января 2023;39 313;0,00161;
9 января 2023 – 15 января 2023;75 229;0,00265;
16 января 2023 – 22 января 2023;81 015;0,00279;
23 января 2023 – 29 января 2023;87 864;0,00303;
30 января 2023 – 5 февраля 2023;87 772;0,00304;
6 февраля 2023 – 12 февраля 2023;86 643;0,00300;
13 февраля 2023 – 19 февраля 2023;87 143;0,00303;
20 февраля 2023 – 26 февраля 2023;73 329;0,00270;
27 февраля 2023 – 5 марта 2023;90 391;0,00314;
6 марта 2023 – 12 марта 2023;87 040;0,00318;
13 марта 2023 – 19 марта 2023;91 693;0,00321;
